study_id,figure,panel,series,observer_type,recon,dose_label,dose_value,dose_unit,diameter_mm,y_value,y_err_low,y_err_high,pass_id,extractor,method,notes
CAND-04,Fig6,d,human_task3,human,,0.34 mGy,0.341,mGy,,0.7776,0.1049,0.1431,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,0.66 mGy,0.661,mGy,,0.8923,,0.0195,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,0.67 mGy,0.672,mGy,,0.9419,0.0106,0.0293,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,0.67 mGy,0.672,mGy,,0.9215,0.0211,0.0122,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",narrow_occluded_uncertain
CAND-04,Fig6,d,human_task3,human,,0.68 mGy,0.684,mGy,,0.8695,0.0927,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,0.70 mGy,0.696,mGy,,0.9776,0.0285,0.0179,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,0.81 mGy,0.808,mGy,,0.8638,0.0951,0.0301,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,0.83 mGy,0.829,mGy,,0.8996,0.0293,0.0504,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,1.11 mGy,1.106,mGy,,0.9354,0.0268,0.0374,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,1.12 mGy,1.125,mGy,,0.8988,0.087,0.0285,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,1.32 mGy,1.316,mGy,,0.8923,0.0228,0.0463,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,1.34 mGy,1.339,mGy,,0.9476,0.0488,0.0333,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,1.34 mGy,1.339,mGy,,0.863,0.0943,0.022,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,1.71 mGy,1.71,mGy,,0.9346,0.0789,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,3.32 mGy,3.318,mGy,,0.9126,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,3.38 mGy,3.376,mGy,,0.9476,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,3.38 mGy,3.376,mGy,,0.9183,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,3.41 mGy,3.406,mGy,,0.9687,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,3.41 mGy,3.406,mGy,,0.9573,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",narrow_occluded_uncertain
CAND-04,Fig6,d,human_task3,human,,3.47 mGy,3.466,mGy,,0.9793,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",narrow_occluded_uncertain
CAND-04,Fig6,d,human_task3,human,,5.13 mGy,5.131,mGy,,0.9776,,0.0098,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,5.22 mGy,5.222,mGy,,0.9996,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,5.36 mGy,5.36,mGy,,0.972,0.0228,0.0138,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,5.65 mGy,5.648,mGy,,0.9419,0.0764,0.0179,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,6.27 mGy,6.271,mGy,,0.9915,0.0211,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,6.78 mGy,6.783,mGy,,0.9963,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,6.78 mGy,6.783,mGy,,0.9711,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,6.78 mGy,6.783,mGy,,0.9606,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",narrow_occluded_uncertain
CAND-04,Fig6,d,human_task3,human,,6.78 mGy,6.783,mGy,,0.9524,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,6.84 mGy,6.843,mGy,,0.9825,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,8.08 mGy,8.076,mGy,,0.9744,0.0642,0.0114,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,9.96 mGy,9.956,mGy,,0.9996,0.0488,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,10.86 mGy,10.864,mGy,,0.8996,0.0878,0.0585,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,11.06 mGy,11.055,mGy,,0.9654,0.0593,0.0244,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,13.16 mGy,13.162,mGy,,0.9744,0.0423,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,13.28 mGy,13.277,mGy,,0.924,0.0813,0.0431,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,d,human_task3,human,,16.09 mGy,16.086,mGy,,0.9565,0.0236,0.0106,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",narrow_occluded_uncertain
CAND-04,Fig6,d,human_task3,human,,16.51 mGy,16.512,mGy,,0.924,0.0813,0.022,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,0.34 mGy,0.341,mGy,,0.9053,0.087,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,0.35 mGy,0.347,mGy,,0.915,,0.0447,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,0.66 mGy,0.661,mGy,,0.985,,0.013,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,0.66 mGy,0.661,mGy,,0.9199,0.0447,0.0528,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,0.70 mGy,0.696,mGy,,0.9768,0.0358,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,0.71 mGy,0.709,mGy,,0.9337,0.0089,0.0358,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,0.80 mGy,0.801,mGy,,0.8833,0.0919,0.0553,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,0.83 mGy,0.829,mGy,,0.9557,0.0659,0.0293,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,1.11 mGy,1.106,mGy,,0.9833,0.0374,0.0146,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,1.12 mGy,1.125,mGy,,0.9386,0.0772,0.0374,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,1.27 mGy,1.271,mGy,,0.9516,0.0114,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,1.30 mGy,1.305,mGy,,0.9663,0.0081,0.0244,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,1.61 mGy,1.609,mGy,,0.9614,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,1.67 mGy,1.666,mGy,,0.9728,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,1.67 mGy,1.666,mGy,,0.9524,0.0293,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,1.69 mGy,1.695,mGy,,0.9833,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,1.74 mGy,1.74,mGy,,0.9931,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,2.09 mGy,2.09,mGy,,0.9947,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,2.16 mGy,2.164,mGy,,0.9833,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,2.18 mGy,2.183,mGy,,0.972,0.0154,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,2.24 mGy,2.241,mGy,,0.9492,0.0748,0.0154,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,2.67 mGy,2.668,mGy,,0.9557,0.0724,0.0285,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,3.50 mGy,3.496,mGy,,0.9833,0.0602,0.0163,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,3.75 mGy,3.749,mGy,,0.9923,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,3.85 mGy,3.848,mGy,,0.9817,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,3.98 mGy,3.985,mGy,,0.9728,0.0667,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,4.16 mGy,4.162,mGy,,0.9947,0.0154,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,5.27 mGy,5.267,mGy,,0.9947,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,5.31 mGy,5.313,mGy,,0.963,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,5.36 mGy,5.36,mGy,,0.9817,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,5.36 mGy,5.36,mGy,,0.9484,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,5.36 mGy,5.36,mGy,,0.9386,0.0325,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,5.45 mGy,5.454,mGy,,0.9728,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,5.75 mGy,5.747,mGy,,0.9898,,0.0098,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,6.44 mGy,6.437,mGy,,0.985,0.0098,0.0122,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,6.44 mGy,6.437,mGy,,0.9679,,0.0098,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,6.44 mGy,6.437,mGy,,0.9589,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,6.44 mGy,6.437,mGy,,0.9459,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,6.78 mGy,6.783,mGy,,1.0012,0.0081,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,7.02 mGy,7.024,mGy,,0.9874,0.0577,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,8.01 mGy,8.006,mGy,,0.985,0.0585,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,8.29 mGy,8.29,mGy,,0.9939,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,10.04 mGy,10.044,mGy,,0.9996,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,10.49 mGy,10.491,mGy,,0.9915,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,10.49 mGy,10.491,mGy,,0.9573,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,10.96 mGy,10.959,mGy,,1.0004,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,11.45 mGy,11.448,mGy,,0.9915,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,11.45 mGy,11.448,mGy,,0.9752,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,11.96 mGy,11.958,mGy,,0.9833,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,12.49 mGy,12.491,mGy,,0.9297,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,12.60 mGy,12.6,mGy,,0.9923,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,12.60 mGy,12.6,mGy,,0.9752,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,12.60 mGy,12.6,mGy,,0.9573,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,13.28 mGy,13.277,mGy,,1.0004,,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,16.09 mGy,16.086,mGy,,0.9833,0.0602,0.0106,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
CAND-04,Fig6,c,human_task2,human,,16.66 mGy,16.657,mGy,,0.9996,0.0106,,2,Cowork Claude session,"pixel extraction, extract_paul2007.py",
